CC(OC/C=C(C)/CCC=C(C)C)=O	Singab_001
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C)([H])COC(C)=O	Singab_137
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)[C@@H](O)C2)([H])C)([H])C(O)=O	Singab_138
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C)([H])CO	Singab_139
C[C@](CCC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C)([H])C(O)=O	Singab_140
CC(C(CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C)=O)C	Singab_141
C/C(C(O)=O)=C\CC[C@@]([C@H]1CC[C@H](C)[C@@]12CC=C(C)C(C2)=O)([H])C	Singab_142
CC([C@H](O)CC[C@@]([C@H]1CC[C@H](CO)[C@@]12CC=C(C(O)=O)[C@@H](O)C2)([H])C)C	Singab_143
C/C(C(O)=O)=C\CC[C@@]([C@H]1CC[C@H](CO2)[C@@]13CC=C(C(O)=O)[C@H]2C3)([H])C	Singab_144
C[C@@]([H])(CO)CCC[C@]1(C)[C@]2([H])CC[C@H](C(O)=O)[C@]23CC1C(C)=CC3	Singab_145
C[C@@]([H])(C(O)=O)CCC[C@]1(C)[C@]2([H])CC[C@H](C(O)=O)[C@]23CC1C(C)=CC3	Singab_146
[H][C@@]12CC[C@H](C(O)=O)[C@]13CC(C(C)=CC3)[C@]2(C)CC/C=C(C)/C(OC)=O	Singab_147
C[C@@]([H])(C(O)=O)CCC[C@]1(C)[C@]2([H])CC[C@H](C(O)=O)[C@]23CC1C(C)=CC3=O	Singab_148
C/C(C(O)=O)=C\CC[C@@]1(CO)[C@@]2([H])CC[C@@H](C)[C@]3([H])[C@@]2([H])[C@@]1([H])C(C)=CC3	Singab_149
C/C(C(O)=O)=C\CC[C@@]1(CO)[C@@]2([H])CC[C@@H](C)[C@]3([H])[C@@]2([H])[C@@]1([H])C(CO)=CC3	Singab_150
C/C(CO)=C\CC[C@@]1(CO)[C@@]2([H])CC[C@@H](C)[C@]3([H])[C@@]2([H])[C@@]1([H])C(CO)=CC3	Singab_151
C[C@](CCC[C@@]1(CO)[C@@]2([H])CC[C@@H](C)[C@]3([H])[C@@]2([H])[C@@]1([H])C(C(O)=O)=CC3)([H])CO	Singab_152
C[C@](CCC[C@@]1(CO)[C@@]2([H])CC[C@@H](C)[C@]3([H])[C@@]2([H])[C@@]1([H])C(CO)=CC3)([H])C(O)=O	Singab_153
O=C(O/1)C(C)=CC1=C\[C@H]2[C@](CC3)(CC[C@]4([H])C)C4=C[C@@H]3C2(C)C	Singab_154
CC1(C)[C@H]([C@]2(C([H])C[C@]3([H])C)C3=C[C@H]1CC2)CC(CC(C)C(O)=O)=O	Singab_155
CC1(C)[C@H]([C@]2([C@@H](O)C[C@]3([H])C)C3=C[C@H]1CC2)CC(CC(C)C(O)=O)=O	Singab_156
CC1(C)[C@H]([C@]2([C@@H](O)C[C@]3([H])C)C3=C[C@H]1CC2)CCCC(C)C(O)=O	Singab_157
CC1(C)[C@H]([C@]2(CC[C@]3([H])C)C3=C[C@H]1CC2)C[C@](O)([H])/C=C(C)/C(O)=O	Singab_158
CC([C@@H](C1)C([H])C2)(C)[C@H]([C@@]32C1(O)[C@](C)([H])CC3)CC(CC(C)C(O)=O)=O	Singab_159
CC([C@@H](C1)[C@@H](O)C2)(C)[C@H]([C@@]32C1(O)[C@](C)([H])CC3)CC(CC(C)C(O)=O)=O	Singab_160
CC([C@@H](C1)CC2)(C)[C@H]([C@@]32C1=C(C)CC3)C[C@](O)([H])/C=C(C)/C(O)=O	Singab_161
CC1(C)[C@@H]2CCC3(CC[C@]4(C)[H])O[C@](/C=C(C)/C(O)=O)([H])C[C@H]1[C@]34C2	Singab_162
CC(C)[C@@](CC)([H])CC[C@@H](C)C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C	Singab_163
O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@]3(CC[C@]5(C(O)=O)C4[C@@H](C)[C@H](C)CC5)C)C1(C)C	Singab_164
O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@]3(CC[C@]5(C(O)=O)C4CC(C)(C)CC5)C)C1(C)C	Singab_165
C[C@@]12C(CC[C@]3(C)C2CC=C4[C@]3(CC[C@]5(C(O)=O)C4CC(C)(C)CC5)C)C(C)(C)[C@H](O)CC1	Singab_166
CCCCCCC/C(COC(C)=O)=C/C=C/C=C/C(O)=O	Singab_167
C=CCC1=CC=C2C(OCO2)=C1	Singab_176
C=CCC1=CC(OC)=C(OC)C=C1	Singab_177
O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=CC=C3)=C1OC	Singab_178
O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(OC)C=C3)=C1OC	Singab_179
O=C1C2=C(O)C(OC)=C(O)C=C2OC(C3=CC=C(OC)C=C3)=C1OC	Singab_180
O=C1C2=C(O)C(OC)=C(OC)C=C2OC(C3=CC(O)=C(OC)C(O)=C3)=C1OC	Singab_181
O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(OC)C=C3)=C1	Singab_182
O=C1C2=C(O)C(O)=C(O)C=C2OC(C3=CC=C(OC)C=C3)=C1	Singab_183
O=C1C2=C(O)C(OC)=C(O)C=C2OC(C3=CC=C(OC)C=C3)=C1	Singab_184
O=C1C2=C(O)C=C(OC)C=C2OC(C3=CC=C(OC)C=C3)=C1	Singab_185
O=C1C2=C(O)C([H])=C(O)C=C2O[C@H](C3=CC=C([H])C=C3)[C@H]1O	Singab_186
O=C1C2=C(O)C([H])=C(O)C=C2O[C@H](C3=CC=C([H])C=C3)C1[H]	Singab_187
O=C1C2=C(O)C([H])=C(OC)C=C2O[C@H](C3=CC=C(O)C=C3)[C@H]1OC(C)=O	Singab_188
O=C1C2=C(O)C(OC)=C(O)C=C2O[C@H](C3=CC=C(O)C=C3)[C@H]1OC(C)=O	Singab_189
COC1=C(OC)C=C([C@H]2[C@H]3CO[C@H](C4=CC(OC)=C(O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)C=C4)[C@H]3CO2)C=C1	Singab_190
COC1=CC([C@@]2([H])[C@@]3([H])[C@](C([H])O2)([H])[C@@](C4=CC(OC)=C(OC)C(OC)=C4)([H])OC3[H])=CC(OC)=C1OC	Singab_191
COC1=C(OC)C=C([C@@]2([H])[C@@]3([H])[C@]([C@@H](O)O2)([H])[C@@](C4=CC=C(OC)C(OC)=C4)([H])O[C@@H]3O)C=C1	Singab_192
[H][C@@]1(C2=CC(OCO3)=C3C=C2)[C@@]4([H])[C@](CO1)([H])[C@@](C5=CC=C(OC)C(OC)=C5)([H])OC4	Singab_193
[H][C@]12[C@H](C3=CC=C(O)C(OC)=C3)OC[C@@]1([H])[C@H](C4=CC=C(O)C(OC)=C4)OC2	Singab_195
COC1=C(O)C=CC([C@H]2C3C(CO2)[C@H](C4=CC(OC)=C(O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)C=C4)OC3)=C1	Singab_196
CC1C(O)C(O)C(O)C(OC2C(O)C(OCCC3=CC(O)=C(O)C=C3)OC(CO)C2OC(/C=C/C4=CC(O)=C(O)C=C4)=O)O1	Singab_197
CC1C(O)C(O)C(O)C(OCC2C(OC(/C=C/C3=CC(O)=C(O)C=C3)=O)C(OC4C(O)C(O)C(O)C(C)O4)C(O)C(OCCC5=CC(O)=C(O)C=C5)O2)O1	Singab_198
N#C[C@H](O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)C2=CC=CC=C2	Singab_199
OCC(/C=C/CCCCCCC)=C/C=C/C(O)=O	BCFA_1
CCCCCCC/C=C/C(CO)=C/C=C/C(O)=O	BCFA_2
OCC1=C[C@@H](CCCCCCC)[C@@H](C(O)=O)[C@H](/C=C(CO)/C=C/CCCCCCC)[C@H]1/C=C/C(O)=O	BCFA_3
CCCCCCC/C=C/C(COC(C)=O)=C\C=C\C(O)=O	BCFA_4
CCCCCCC/C=C/C(COC(C)=O)=C/C=C/C(O)=O	BCFA_5
O=C(O)/C=C/[C@@H]1[C@@H](/C=C(CO)/C=C/CCCCCCC)[C@H](C(O)=O)[C@H](CCCCCCC)C=C1COC(C)=O	BCFA_6a
