filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
137_MJB2407_6ul_BC1_01_22329.mzML	Eremophila_punicea_MJB2407	0	1	0	0	1	h10	h10	1	19.4
139_MJB2409_6ul_BC3_01_22331.mzML	Eremophila_foliosissima_MJB2409	1	0	0	NA	1	h12	h12	1	14.8
140_MJB2410_6ul_BC4_01_22332.mzML	Eremophila_georgei_MJB2410	1	0	0	1	1	h12	h12	1	12.9
141_MJB2411_6ul_BC5_01_22335.mzML	Eremophila_pantonii_MJB2411	0	0	0	0	0	h3	h3	1	17.3
142_MJB2412_6ul_BC6_01_22336.mzML	Eremophila_longifolia_MJB2412	0	1	1	1	1	h5	h	0	16.3
143_MJB2413_6ul_BC7_01_22337.mzML	Eremophila_macmillaniana_MJB2413	1	1	0	NA	1	h11	h11	1	11.5
144_MJB2414_6ul_BC8_01_22338.mzML	Eremophila_glutinosa_MJB2414	1	0	0	NA	1	h12	h12	1	13.7
145_MJB2415_6ul_BD1_01_22339.mzML	Eremophila_spathulata_MJB2415	0	0	0	NA	1	h11	h11	1	15.5
146_MJB2416_6ul_BD2_01_22340.mzML	Eremophila_jucunda_jucunda_MJB2416	0	0	0	0	1	h10	h10	1	14.4
147_MJB2417_6ul_BD3_01_22341.mzML	Eremophila_lachnocalyx_MJB2417	0	0	0	0	1	0	h	1	10.3
148_MJB2418_6ul_BD4_01_22342.mzML	Eremophila_phyllopoda_phyllopoda_MJB2418	1	0	0	NA	1	h11	h11	1	15.1
149_MJB2419_6ul_BD5_01_22343.mzML	Eremophila_retropila_MJB2419	0	0	0	NA	1	0	h	1	10.7
150_MJB2420_6ul_BD6_01_22344.mzML	Eremophila_linearis_MJB2420	1	1	0	1	0	h4	h	1	14.6
151_MJB2421_6ul_BD7_01_22345.mzML	Eremophila_latrobei_latrobei_MJB2421	0	1	1	1	1	h10	h10	1	18.1
152_MJB2422_6ul_BD8_01_22346.mzML	Eremophila_spuria_MJB2422	1	0	0	NA	0	h12	h12	1	13.9
153_MJB2423_6ul_BE1_01_22347.mzML	Eremophila_flabellata_MJB2423	1	0	0	NA	1	h12	h12	1	16.6
154_MJB2424_6ul_BE2_01_22348.mzML	Eremophila_malacoides_MJB2424	0	0	0	NA	1	h3	h3	1	15.6
155_MJB2425_6ul_BE3_01_22349.mzML	Eremophila_margarethae_MJB2425	1	0	0	NA	1	h10	h10	1	16.2
156_MJB2426_6ul_BE4_01_22350.mzML	Eremophila_spectabilis_brevis_MJB2426	1	0	0	NA	1	h12	h12	1	18.7
157_MJB2427_6ul_BE5_01_22351.mzML	Eremophila_enata_MJB2427	1	0	0	NA	1	h12	h12	1	16.5
158_MJB2428_6ul_BE6_01_22352.mzML	Eremophila_falcata_MJB2428	1	0	0	NA	0	h7	h	1	15.4
160_MJB2430_6ul_BE8_01_22354.mzML	Eremophila_gilesii_gilesii_MJB2430	1	0	1	NA	1	h12	h12	1	16.8
161_MJB2431_6ul_GA1_01_22357.mzML	Eremophila_platythamnos_platythamnos_MJB2431	1	0	0	1	0	h6	h	1	14.6
163_MJB2433_6ul_GA3_01_22359.mzML	Eremophila_pungens_MJB2433	1	0	0	NA	1	h12	h12	1	13.4
164_MJB2434_6ul_GA4_01_22360.mzML	Eremophila_alternifolia_MJB2434	0	1	1	1	0	g	ag	1	14.6
166_MJB2436_6ul_GA6_01_22362.mzML	Eremophila_citrina_MJB2436	0	0	0	NA	1	h10	h10	1	15.9
167_MJB2437_6ul_GA7_01_22363.mzML	Eremophila_glabra_glabra_MJB2437	1	1	0	1	1	h14	h14	1	11.4
169_MJB2439_6ul_GB1_01_22365.mzML	Eremophila_punctata_MJB2439	1	0	0	NA	0	h12	h12	1	13.7
170_MJB2440_6ul_GB2_01_22366.mzML	Eremophila_cuneifolia_MJB2440	1	0	1	1	1	h11	h11	1	15.6
171_MJB2441_6ul_GB3_01_22367.mzML	Eremophila_youngii_youngii_MJB2441	0	1	0	0	0	h3	h3	1	10.6
172_MJB2442_6ul_GB4_01_22368.mzML	Eremophila_annoscaulis_MJB2442	1	0	0	NA	1	h12	h12	1	13.7
174_MJB2444_6ul_GB6_01_22370.mzML	Eremophila_hughesii_MJB2444	1	0	0	NA	0	h12	h12	1	15.1
175_MJB2445_6ul_GB7_01_22371.mzML	Eremophila_ramiflora_MJB2445	1	1	0	NA	1	h11	h11	1	14.5
176_MJB2446_6ul_GB8_01_22372.mzML	Eremophila_miniata_MJB2446	1	1	0	0	1	h10	h10	1	16.3
177_MJB2447_6ul_GC1_01_22373.mzML	Eremophila_galeata_MJB2447	1	1	0	1	1	h11	h11	1	13.1
178_MJB2448_6ul_GC2_01_22374.mzML	Eremophila_campanulata_MJB2448	0	0	0	NA	1	h10	h10	1	17.1
179_MJB2449_6ul_GC3_01_22375.mzML	Eremophila_shonae_diffusa_MJB2449	1	0	0	NA	0	h12	h12	1	13.7
180_MJB2450_6ul_GC4_01_22376.mzML	Eremophila_simulans_simulans_MJB2450	1	0	0	NA	1	h12	h12	1	16.3
181_MJB2451_6ul_GC5_01_22379.mzML	Eremophila_abietina_abietina_MJB2451	1	1	0	NA	0	h11	h11	1	16.1
182_MJB2452_6ul_GC6_01_22380.mzML	Eremophila_metallicorum_MJB2452	1	0	0	NA	1	h12	h12	1	12.1
183_MJB2453_6ul_GC7_01_22381.mzML	Eremophila_oldfieldii_angustifolia_MJB2453	1	1	0	0	1	0	h	1	15.3
184_MJB2454_6ul_GC8_01_22382.mzML	Eremophila_hygrophana_MJB2454	0	0	0	0	1	h1	h	1	10.3
185_MJB2455_6ul_GD1_01_22383.mzML	Eremophila_glandulifera_MJB2455	0	1	0	NA	1	h10	h10	1	11.2
